GENERIC,SAMPLEID,MISSION,STATION,LANDMARK,BAGNUMBER,ORIGINALWEIGHT,SAMPLETYPE,SAMPLESUBTYPE,PRISTINITY,PRISTINITYDATE,HASTHINSECTION,HASDISPLAYSAMPLE,DISPLAYSAMPLENUMBER,GENERICDESCRIPTION
70136,,Apollo 17,ALSEP,,SCB 2/10E,10.65,Basalt,Ilmenite,91.268,2012-03-01 0:00:00,TRUE,,,"U?, medium-grained, hypidiomorphic granular, plagioclase poikilitic"
70137,,Apollo 17,ALSEP,,SCB 2/10E,6.16,Basalt,Ilmenite,89.61,2012-03-01 0:00:00,TRUE,,,"U?, medium-grained, hypidiomorphic granular"
70138,,Apollo 17,ALSEP,,SCB 2/10E,3.66,Basalt,Ilmenite,66.148,2013-04-01 0:00:00,TRUE,,,"A, medium-grained, hypidiomorphic granular, plagioclase poikilitic"
70139,,Apollo 17,ALSEP,,SCB 2/10E,3.16,Basalt,Ilmenite,41.487,2012-03-01 0:00:00,TRUE,,,"B1, medium-grained, hypidiomorphic granular, plagioclase poikilitic"
70145,,Apollo 17,ALSEP,,SCB 2/10E,3.07,Basalt,Ilmenite,62.248,2013-04-01 0:00:00,TRUE,,,"A, medium-grained, hypidiomorphic granular, plagioclase poikilitic"
70146,,Apollo 17,ALSEP,,SCB 2/10E,1.71,Basalt,Ilmenite,40.994,2010-03-01 0:00:00,TRUE,,,"A, medium-grained, hypidiomorphic granular, plagioclase poikilitic"
70147,,Apollo 17,ALSEP,GEOPHONE ROCK,SCB 2/10E,1.35,Basalt,Ilmenite,9.037,2010-03-01 0:00:00,TRUE,,,"A, medium-grained, hypidiomorphic granular, plagioclase poikilitic"
70148,,Apollo 17,ALSEP,GEOPHONE ROCK,SCB 2/10E,0.92,Basalt,Ilmenite,9.13,2010-04-01 0:00:00,TRUE,,,"B1, medium-grained, hypidiomorphic granular, plagioclase poikilitic"
70149,,Apollo 17,ALSEP,GEOPHONE ROCK,SCB 2/10E,0.95,Basalt,,0,2007-08-01 0:00:00,TRUE,,,"A, medium-grained, hypidiomorphic granular, plagioclase poikilitic"
70155,,Apollo 17,ALSEP,GEOPHONE ROCK,SCB 2/10E,0.77,Basalt,Ilmenite,15.84,2007-08-01 0:00:00,TRUE,,,"B1, medium-grained, hypidiomorphic granular, plagioclase poikilitic"
70156,,Apollo 17,ALSEP,GEOPHONE ROCK,SCB 2/10E,0.63,Basalt,Ilmenite,34.44,2007-08-01 0:00:00,TRUE,,,"B1, medium-grained, hypidiomorphic granular, plagioclase poikilitic"
70157,,Apollo 17,ALSEP,GEOPHONE ROCK,SCB 2/10E,0.57,Basalt,Ilmenite,25.96,2007-08-01 0:00:00,TRUE,,,"B1, medium-grained, hypidiomorphic granular, plagioclase poikilitic"
70160,,Apollo 17,ALSEP,,SCB 1/474,106.1,Soil,Unsieved,99.218,2012-03-01 0:00:00,FALSE,,,"Fines, Unsieved"
70161,,Apollo 17,ALSEP,,SCB 1/474,197.7,Soil,<1 mm,94.136,2014-12-01 0:00:00,TRUE,,,"Fines, < 1MM"
70162,,Apollo 17,ALSEP,,SCB 1/474,5.14,Soil,1-2 mm,100,2007-08-01 0:00:00,FALSE,,,"Fines, 1-2MM"
70163,,Apollo 17,ALSEP,,SCB 1/474,3.43,Soil,2-4 mm,100,2007-08-01 0:00:00,FALSE,,,"Fines, 2-4MM"
70170,,Apollo 17,ALSEP,,SCB 5/55Y,42.31,Soil,Unsieved,94,2007-08-01 0:00:00,FALSE,,,
70175,,Apollo 17,ALSEP,,SCB 5/55Y,339.6,Breccia,Regolith,96.636,2013-08-01 0:00:00,TRUE,,,"breccia, glass-rich microbreccia"
